Post_URL,Comments,Retweets,Likes,Views,Bookmarks,Account Followers,Flagged,Video,Username,Display Name,Account Name,Tweet Text,Replies,Timestamp,Has Video,Has Image,Has Media,Followers,Account Created,Is Retweet,Language,Scraped At,Status
https://x.com/luizmarinhopt/status/1973054903607071036,,6,17,586,0,,,,luizmarinhopt,Luiz Marinho,Luiz Marinho,"Uma flotilha com representantes de 44 países leva ajuda humanitária a Gaza.
Um gesto de união e solidariedade que mostra: quando os povos se juntam por um bem maior, a esperança navega mais forte que qualquer bloqueio.",4,2025-09-30T15:58:41.000Z,1,False,True,23900,May 2010,False,,2025-11-19T13:12:55.924534,success
https://x.com/dany_dubd/status/1966989805608464652,,1054,4331,114000,78,,,,dany_dubd,Dubd ,Dubd ,"Chargez 
#FreedomFlotilla",522,2025-09-13T22:18:09.000Z,1,False,True,6465,January 2024,False,,2025-11-19T13:13:10.228893,success
x.com/mynewshub/status/1949171630263116157,,8,19,1834,1,,,,jpsin1,Jitendra pratap singh,Jitendra pratap singh,"A Swedish NGO is taking people from Gaza to Sweden.

They will be settled in Sweden. 

The interesting thing is that there is no girl from Gaza in the plane.

 Swedes should think that to  whom will these young men marry?

It is obvious that these people will convert Swedish Christian girls and marry them.

 Sweden is already struggling with Islamic riots

 Riots are breaking out in many cities

 but Still the Swedes are not coming to their senses",0,2025-07-15T15:19:49.000Z,1,False,True,113300,March 2012,False,,2025-11-19T13:13:23.616400,success
https://x.com/jpsin1/status/1945141257346617699,,580,1209,67800,19,,,,jpsin1,Jitendra pratap singh,Jitendra pratap singh,"गाजा से स्वीडन की एक एनजीओ गाजा  के लोगों को स्वीडन लेकर जा रही है 

जिन्हें स्वीडन में बसाया जाएगा 

मजे की बात यह की प्लेन में कोई भी गाजा की लड़की नहीं है 

स्वीडन वालो को यह सोचना चाहिए कि यह जो युवक हैं फिर यह अपनी शादी  किससे करेंगे ?

जाहिर सी बात है क्रिश्चियन स्वीडिश  लड़कियों को कन्वर्ट करके उनसे करेंगे 

स्वीडन पहले से ही इस्लामिक दंगो से जूझ रहा है

 कई शहरों में दंगे भड़क रहे हैं मगर 

फिर भी स्वीडन वालों को अकल नहीं आ रही",153,2025-07-15T15:20:08.000Z,1,False,True,113300,March 2012,False,,2025-11-19T13:13:37.686366,success
https://x.com/jpsin1/status/1945141338217062624,,53,249,7604,10,,,,jpsin1,Jitendra pratap singh,Jitendra pratap singh,ईरान के वार हेड के गोदाम पर इजरायल ने जब बम गिराया तब वहां रखे हजारों वार हेड में जब ब्लास्ट हुआ तब ठीक उसी तरह का फायर मशरूम बना जैसे न्यूक्लियर ब्लास्ट के समय बनता है,4,2025-06-13T18:43:09.000Z,1,False,True,113300,March 2012,False,,2025-11-19T13:13:52.123471,success
https://x.com/jpsin1/status/1933596017699766590,,0,0,149,0,,,,ChilenoenIsrael,Chileno en Israel -  - ,Chileno en Israel -  - ,#ISRAEL #URGENTE iExplosión en una refinería de petróleo en #Irán,0,2025-06-13T07:36:18.000Z,0,False,False,11200,April 2012,False,,2025-11-19T13:14:06.172917,success
https://x.com/ChilenoenIsrael/status/1933428197213028823,,22,232,5356,2,,,,ChayasClan,Chaya’s Clan,Chaya’s Clan,Explosion at an oil refinery in Iran… oops ,16,2025-06-13T08:08:21.000Z,0,False,False,203700,August 2023,False,,2025-11-19T13:14:21.558480,success
https://x.com/ChayasClan/status/1933436265375866953,,288,1188,55400,32,,,,ShaykhSulaiman,Sulaiman Ahmed,Sulaiman Ahmed,BREAKING: ANOTHER EXPLOSION AT AN OIL REFINERY IN IRAN,33,2025-06-13T10:09:04.000Z,0,False,False,757800,March 2013,False,,2025-11-19T13:14:35.783435,success
https://x.com/ShaykhSulaiman/status/1933466643134283876,,4662,17550,1100000,892,,,,MonitorX99800,Monitor𝕏,Monitor𝕏,"#BREAKING CHINESE cargo plane, with full protection escort, bringing food aid to 60,000 families in Gaza - entering through Egypt. 

They held their promise of aid, a moment of shame for all the arab and islamic countries.

Let that sink in...",700,2025-05-17T07:34:41.000Z,1,False,True,81500,March 2020,False,,2025-11-19T13:14:50.773261,success
https://x.com/MonitorX99800/status/1923643318224761254,,0,10,1924,0,,,,ChenJoinhy,陈良军Jeff.Chen,陈良军Jeff.Chen,"中国人道援助加沙的机队，是不是特别霸气，能装好多物资的样子。
请巴勒斯坦人民挺住，乌克兰一旦停火，无论美国还想玩什么把戏，联合国一定会推动巴勒斯坦独立建国。
#gaza #Palestine #China",5,2025-05-15T16:03:10.000Z,1,False,True,1279,February 2023,False,,2025-11-19T13:15:07.415565,success
https://x.com/ChenJoinhy/status/1923046509303496850,,4,19,2487,1,,,,Hunter31032008,机动长道 grok版,机动长道 grok版,"中国兑现承诺向加沙六万户居民提供粮食 
，中国运输机经埃及飞往加沙。",3,2025-05-17T00:47:52.000Z,1,False,True,2056,February 2022,False,,2025-11-19T13:15:22.382443,success
https://x.com/Hunter31032008/status/1923540938674119156,,261,1130,10400,14,,,,TheSaviour,The Saviour,The Saviour, Palestinian flags are being waved at Pope Francis' funeral,22,2025-04-26T13:03:04.000Z,1,False,True,430900,November 2022,False,,2025-11-19T13:15:36.801247,success
https://x.com/TheSaviour/status/1916115814861754430,,2046,23927,911900,631,,,,VerminusM,Uri Kurlianchik,Uri Kurlianchik,"Palestinian flags at the funeral of the pope today, because God forbid anything won't be about them for five seconds.",901,2025-04-26T12:57:15.000Z,1,False,True,66600,February 2022,False,,2025-11-19T13:15:51.802996,success
https://x.com/VerminusM/status/1916114351485845625,,2490,20714,197200,195,,,,vampl0vrrr,vampira,vampira,palestine flags being waved at pope francis’ funeral ,2,2025-04-26T16:17:41.000Z,0,False,False,15600,January 2019,False,,2025-11-19T13:16:06.425329,success
https://x.com/vampl0vrrr/status/1916164789807481027,,55,133,9165,8,,,,PalestineChron,The Palestine Chronicle,The Palestine Chronicle,"Amid the mourning at Pope Francis’ funeral in St. Peter’s Square, several Palestinian flags were raised in a powerful gesture of solidarity.",6,2025-04-26T13:07:32.000Z,1,False,True,61000,November 2012,False,,2025-11-19T13:16:31.487826,success
https://x.com/PalestineChron/status/1916116938872295847,,109,1696,27400,10,,,,MidiaNINJA,Mídia NINJA,Mídia NINJA,Diversas bandeiras da Palestina  foram hasteadas durante a cerimônia de sepultamento do Papa Francisco na Praça São Pedro.,13,2025-04-26T13:45:07.000Z,0,False,False,1000000,June 2013,False,,2025-11-19T13:16:48.717078,success
https://x.com/MidiaNINJA/status/1916126395224494583,,0,0,24,0,,,,TheObserver099,The Observer,The Observer,The Dutch celebrate after teaching the Israelis a lesson they will never forget.,0,2024-11-09T14:05:51.000Z,1,False,True,607,March 2024,False,,2025-11-19T13:17:06.273284,success
https://x.com/TheObserver099/status/1855250453568606307,,11591,54686,820500,1396,,,,Palestine001_,Parwiz Hamidi _,Parwiz Hamidi _,The Dutch celebrate after teaching the Israelis a lesson they will never forget.,635,2024-11-09T06:01:02.000Z,1,False,True,43200,October 2023,False,,2025-11-19T13:17:22.194139,success
https://x.com/Palestine001_/status/1855128446747168774,,4,3,323,0,,,,newbondjames,Karishma Kaur,Karishma Kaur,"BREAKING NEWS

 Hezbollah has officially started striking the Israeli port of Haifa for the first time.

""Hezbollah"" said that, Step by step, we will destroy every part of Israel with rockets",1,2024-06-13T17:29:59.000Z,1,False,True,2888,January 2022,False,,2025-11-19T13:17:37.713761,success
https://x.com/newbondjames/status/1801306033627009340,,4,15,1059,2,,,,greenmoggy,☭ David Walker ☭,☭ David Walker ☭,"Lebanese defenders hit the port of Haifa. I assume, hoping to limit imperial delivery of materiel, reduce the occupation's economic power, & continue to prove the occupation in not invincible. The internationally lawful military resistance continues. ",0,2024-11-11T22:31:22.000Z,1,False,True,742,January 2011,False,,2025-11-19T13:17:53.113532,success
https://x.com/greenmoggy/status/1856102445430042982,,0,0,97,0,,,,AnsaQueen01,Ansa Queen,Ansa Queen,"BREAKING:
 Hezbollah has officially started striking the Israeli port of Haifa for the first time.",1,2024-09-14T07:46:06.000Z,1,False,True,3258,August 2024,False,,2025-11-19T13:18:07.965615,success
https://x.com/AnsaQueen01/status/1834861163084963856,,2136,10746,138800,188,,,,SilentlySirs,SilencedSirs,SilencedSirs,"BREAKING:

 Hezbollah has officially started striking the Israeli port of Haifa for the first time.",190,2024-11-11T20:19:06.000Z,1,False,True,128199,October 2023,False,,2025-11-19T13:18:23.737421,success
